Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
12/12/2025,60200,61700,62000,60200,4.40M,-2.11%
11/12/2025,61500,63000,63500,61500,4.85M,-2.54%
10/12/2025,63100,62400,64500,62300,3.47M,0.96%
09/12/2025,62500,63500,64100,62500,5.39M,-1.57%
08/12/2025,63500,63300,64500,63200,3.32M,0.16%
05/12/2025,63400,63600,64500,63400,3.60M,0%
04/12/2025,63400,65000,65100,63400,5.92M,-1.86%
03/12/2025,64600,65100,65200,64000,5.38M,-0.62%
02/12/2025,65000,64800,65600,64500,6.76M,0.15%
01/12/2025,64900,64300,65900,64300,9.11M,1.41%
28/11/2025,64000,62200,64500,62200,11.90M,3.23%
27/11/2025,62000,63000,63400,62000,3.96M,-1.27%
26/11/2025,62800,62300,63200,62300,3.65M,1.45%
25/11/2025,61900,63000,63200,61900,4.91M,-1.75%
24/11/2025,63000,60100,63400,60100,9.90M,5.18%
21/11/2025,59900,60300,60700,59700,4.19M,-1.32%
20/11/2025,60700,61400,61600,60500,2.66M,-0.33%
19/11/2025,60900,60700,61900,60500,4.46M,0.33%
18/11/2025,60700,62000,62300,60500,5.56M,-2.25%
17/11/2025,62100,62900,63300,61800,4.20M,-1.11%
14/11/2025,62800,61700,63300,61600,10.15M,1.62%
13/11/2025,61800,59800,62000,59700,9.74M,3.34%
12/11/2025,59800,58800,60000,58500,5.16M,1.53%
11/11/2025,58900,57000,59000,57000,5.15M,3.33%
10/11/2025,57000,57700,57900,57000,2.68M,-1.04%
07/11/2025,57600,57600,58400,57500,3.25M,-0.69%
06/11/2025,58000,58000,58500,57600,2.24M,0%
05/11/2025,58000,57300,58500,57100,3.83M,1.22%
04/11/2025,57300,57600,57900,56300,4.18M,0%
03/11/2025,57300,57700,58300,57300,2.64M,-0.52%
31/10/2025,57600,57400,57700,57100,2.64M,0.88%
30/10/2025,57100,57800,57900,57000,1.91M,-0.7%
29/10/2025,57500,57500,57900,57100,1.97M,0.17%
28/10/2025,57400,57200,57400,56800,2.08M,0.7%
27/10/2025,57000,58400,58400,57000,3.00M,-1.89%
24/10/2025,58100,56900,58100,56100,3.96M,2.65%
23/10/2025,56600,56500,57100,56300,2.33M,0.53%
22/10/2025,56300,57100,57300,55700,3.85M,-0.35%
21/10/2025,56500,56100,58000,56100,7.07M,2.73%
20/10/2025,55000,58900,59400,55000,8.74M,-6.46%
17/10/2025,58800,61000,61200,58800,6.04M,-3.92%
16/10/2025,61200,60800,61200,60200,5.16M,0.74%
15/10/2025,60750,60941,61514.1,60750,4.65M,0.16%
14/10/2025,60654.5,61514.1,61514.1,60463.4,5.36M,-0.78%
13/10/2025,61132.1,59412.7,61227.6,59030.6,6.31M,2.56%
10/10/2025,59603.8,60559,60559,59603.8,4.97M,-0.79%
09/10/2025,60081.4,60559,60654.5,59794.8,3.30M,-5.23%
08/10/2025,63400,62300,63500,61700,5.92M,3.26%
